job_id,title,job_url,company,location,salary_min,salary_max,salary_mean,actual_posted_date,job_description
26639883,IT Service Transition Senior Analyst,https://www.ricebowl.my/job?jobId=26639883&slug=it-service-transition-senior-analyst,Kumpulan Wang Simpanan Pekerja (KWSP),Shah Alam,,,,2026-06-02,"Must be a Malaysian citizen. Passed the Bahasa Malaysia Language subject, including the oral test, at the Sijil Pelajaran Malaysia (SPM) level or an equivalent qualification recognized by the Government. Possess a Bachelor’s Degree with Honors in Computer Science or an equivalent qualification, with a minimum CGPA of 3.0, from a local or international institution recognized by the Government. Must have experience working in an IT service environment within a complex and diverse organization. Minimum of 7 - 10 years of experience working in a service environment where ITIL service management principles and processes (Service Transition, Change, Release, or Operations) are implemented. Previous experience in a customer-facing role or Shared Services Environment is an added advantage. Must have ITIL-based experience and hold an ITIL v3/v4 Foundation certification. Familiarity with ITSM tools such as ServiceNow, BMC Remedy, Ivanti, or equivalent is required. Possession of certifications in PMP, PRINCE2, or Lean Six Sigma is an added advantage. Strong understanding of Service Desk and Service Management functions. Excellent analytical and problem-solving skills. Proficient in writing, editing, proofreading, and speaking in both English and Bahasa Malaysia, with strong interpersonal skills. Able to communicate effectively (both verbal and written) in a professional manner with technical and non-technical personnel. Capable of working productively in environments with limited resources. A self-starter who can multitask and work well in a team environment. Flexible and adaptable, with the ability to work in ambiguous situations. Experience in Service Management or Service Readiness environments. Sufficient technical background to understand various system architectures and the impact of new technologies; experience with enterprise-level applications is an advantage.

Coordinate end-to-end service transition activities for new or changed IT services. Ensure all transition plans, service acceptance criteria, and documentation are completed prior to go-live. Support the development and maintenance of transition checklists, templates, and readiness assessment reports. Ensure transitions are aligned with ITIL best practices and internal governance standards. Coordinate the Service Onboarding activities with Project Managers, Service Owners, 2nd Level Support Teams, and Change Managers to ensure services are ready for production and business-as-usual (BAU) operation. Support the Service Transition Manager in conducting service readiness reviews. Validate that operational support models, escalation paths, and service documentation are in place before deployment. Ensure proper handover of new or changed services to Service Operations (BAU). Maintain records of operational acceptance, signoffs, and lessons learned. Assist in the preparation and execution of Change Advisory Board (CAB) meetings by coordinating documentation to ensure all change-related documentation is complete and accurate. Monitor change requests and ensure deployment readiness according to approved release plans. Support the implementation of normal and emergency (E-CAB) change processes as required. Work closely with Project Managers, Service Owners, Developers, and Support Teams to align transition schedules and deliverables. Facilitate communication between project and operations teams to ensure smooth service introduction. Track and escalate risks or issues that may impact transition success. Contribute to post-implementation reviews and lessons-learned exercises. Identify areas for process improvement within the Service Transition lifecycle. Stay up to date with ITIL, Agile, and DevOps practices to recommend enhancements in transition methodology. Maintain accurate documentation of transition activities, approvals, and risk assessments. Support reporting on key performance indicators (KPIs), such as transition success rate, post-implementation issues, and change compliance. Ensure all service transition activities comply with internal IT governance and security policies.

Casual attire Hot desk environment Nearby LRT (KLCC), MRT (Conlay & Bukit Bintang) & Monorail (Raja Chulan) Statutory deductions Commission incentives Annual leave Dental allowance Optical allowance Panel clinic Life insurance Attendance bonus Learning incentive Medical Benefits EPF SOCSO

Transition Stage-Gate Governance Forward Schedule of Change (FSC) Management"
26599131,Artificial Intelligence Engineer,https://www.ricebowl.my/job?jobId=26599131&slug=artificial-intelligence-engineer,Net2Source Inc.,Cyberjaya,,,,2026-05-27,"Role- AI Engineer Role Type- Permanent Experience- 2+ Years Budget- 15K/MYR Monthly Must- Malaysian Location- Cyberjaya Skills-LLMs / Generative AI APIs OpenAI, Anthropic, JavaScript, TypeScript or Python Job Description- Strong fundamentals in software engineering (data structures, APIs, web applications) Experience with full-stack development (frontend and backend) Hands-on exposure to LLMs / Generative AI APIs (OpenAI, Anthropic, etc.) Proficiency in JavaScript / TypeScript or Python Experience designing and consuming REST APIs Familiarity with Git and standard development workflows Ability to work independently, manage tasks, and take ownership Strong analytical and problem-solving mindset Good to Have (Not Mandatory) Experience with RAG architectures and vector databases (Pinecone, Milvus, FAISS, etc.) Familiarity with LangChain, LlamaIndex, or similar frameworks Exposure to Voice AI (speech-to-text, text-to-speech, telephony APIs) Experience with cloud platforms (AWS, Azure, GCP) Knowledge of Docker or basic DevOps practices Academic projects, internships, hackathons, or deployed applications Eligibility Criteria: Fresh graduates or candidates with 0–3 years of experience in software or AI engineering Degree in Computer Science, Engineering, AI, or related disciplines Demonstrated interest in applied AI through coursework, projects, or hands-on experimentation Ability to work in a structured, professional engineering environment Clear communication skills and ability to collaborate across teams Strong motivation to continuously learn and grow professionally"
26639202,Senior System Analyst (IT Asset Management),https://www.ricebowl.my/job?jobId=26639202&slug=senior-system-analyst-it-asset-management,Kumpulan Wang Simpanan Pekerja (KWSP),Shah Alam,,,,2026-06-02,"Qualification & Experience: Malaysian citizen. Pass Bahasa Malaysia Language including oral test at Sijil Pelajaran Malaysia (SPM) level. Possess a Bachelor’s Degree (Honors) in Computer Science, Engineering, Information Technology, Information System or an equivalent field recognized by the Government, from an accredited higher learning institution. Possess IAITAM certification (or an equivalent ITAM certification) will be an added advantage. Minimum of 7 - 10 years of experience in IT asset management (hardware and software) or a related field, with a minimum of two (2) years in a supervisory role. Solid understanding of IT asset components, including both hardware and software. Strong analytical, organizational, and communication skills, with proficiency in IT asset management software and tools. Strong understanding of license administration, server management, and system logical. Essential Soft Skills: Strong problem-solving skills to address asset management challenges. Patience and the ability to perform well under pressure. Excellent communication and presentation skills. Detail-oriented, self-organized, and strong time management abilities. Capable of handling multiple tasks and being self-motivated. Skilled in enhancing and developing new processes.

JOB SCOPE IT Asset Lifecycle Management Oversee Asset Inventory: Maintain and govern the accuracy of the IT asset repository (CMDB/ITAM system) for all hardware, software, license subscription, cloud subscriptions, and other technology assets from procurement to disposal. Process Execution: Govern the execution of the complete asset lifecycle, including procurement support, deployment coordination, asset transfers, and formal retirement/disposal processes. Inventory Control: Resolve complex discrepancies in asset records and implement robust controls to ensure continuous data integrity and a single source of truth for all IT assets. Software Licensing and Compliance (SAM) Compliance Assurance: Lead regular reviews and audits of software installations and usage data against license entitlements to ensure continuous legal compliance with vendor agreements. License Optimization: Analyze software usage metrics to identify unused or underutilized licenses and recommend strategies (e.g., license harvesting, reclamation) for cost reduction and optimization. Vendor Management Support: Assist the ITAM Lead for provider audits, contract renewals, and negotiation strategy by providing detailed, data-driven entitlement and usage reports. Reporting, Analysis, and Strategy Advanced Reporting: Generate, analyze, and present complex reports and dashboards (e.g., utilization, cost-to-serve, compliance status, end-of-life forecasts) for senior management and cross-functional teams (Finance, Procurement). Cost Management: Identify trends in asset consumption and costs, providing actionable insights to reduce technology expenditures and maximize return on investment (ROI). Process Improvement: Drive continuous improvement initiatives for ITAM processes, tools, and policies, in alignment with industry best practices (e.g., ITIL). Team Leadership and Mentorship Escalation Point: Serve as the subject matter expert (SME) and escalation point for junior analysts and cross-functional teams regarding asset-related issues, policies, and complex licensing questions. Mentorship: Provide guidance, coaching, and training to IT Asset Analyst roles to build team capabilities and ensure consistent application of ITAM policies. Cross-Functional Collaboration: Act as a key liaison between IT Operations, Procurement, Finance and Security teams to align ITAM practices with broader organizational goals.

Casual attire Hot desk environment Nearby LRT (KLCC), MRT (Conlay & Bukit Bintang) & Monorail (Raja Chulan) Statutory deductions Commission incentives Annual leave Dental allowance Optical allowance Panel clinic Life insurance Attendance bonus Learning incentive Medical Benefits EPF SOCSO

ITAM Lifecycle Management Data Analysis & Reporting Audit Readiness & Defense"
26267538,Data Migration Lead (Insurance Industry),https://www.ricebowl.my/job/26267538-data-migration-lead-insurance-industry,Agensi Pekerjaan Ideal Reliance Sdn Bhd,WP Kuala Lumpur,10000.0,13500.0,11750.0,2026-05-08,"Degree holder and above in Computer Science/ Engineering or related disciplines Minimum 10-12 years of IT experience as a Technical lead OR Data Migration Lead. Good communication and written skills are essential. Must have worked on large scale data migration of policy admin system projects in Insurance domain. Must possess sound business knowledge on Life Insurance touching the areas of new business, policy servicing, Distribution management, Account Management, claim management customer experience and able to comprehend business scenario. Must have clear understanding of key peripherals connected to the policy admin system and understanding of data dependency. Must have worked on regional delivery model and able to design a reusable, scalable and efficient solution. Must be able to strategize the go live preparation and Data migration go live. Must have knowledge on ETL tools, SQL Queries and able to assist the Data Engineers to remove the impediments and suggest the possible solution.

Lead the data migration Analysis, create Migration Strategy and Plan. Work closely with Data owners, Business Owners, Architects, Application teams and Integration lead to understand the requirements and define the data migration strategy. Asses the build efforts and propose the most cost effective, fastest and reusable data migration model which can be implemented at regional level. Manage the entire data migration delivery from source and target side. Articulate the problem statement and propose effective solution and recommendation for management decision. Provide progress updates and highlight the risk and issues of the project to the key stakeholders and project / program manager. Manage the scope and schedule of Data migration project.

EPF SOCSO Medical and Hospitalisation Leave EIS Medical Insurance Annual Leave 5 Working Days

Data Migration ETL SQL Queries Data Architect"
26386270,Senior Devops & Cloud Engineer,https://www.ricebowl.my/job/26386270-senior-devops-cloud-engineer,Paydaes Sdn. Bhd.,Petaling Jaya,10000.0,17000.0,13500.0,2026-06-05,"Bachelor’s Degree in Computer Science, Information Technology, or related field. 5+ years of hands-on experience managing AWS infrastructure for multi-tenant or large-scale SaaS applications. Proven experience with auto-scaling, load balancing, and failover architectures. Deep knowledge of AWS services (EC2, RDS/Aurora, S3, EFS, IAM, CloudWatch, CloudFormation, CodeDeploy, Security Groups). Expert in CI/CD pipeline setup using Jenkins. Strong experience with networking — VPC, subnets, VPN, route tables, NAT, firewalls, and DNS. Strong experience in Unix/Linux server administration and shell scripting. Strong knowledge of Cloudflare configuration (DNS, CDN, SSL, WAF). Experience in security hardening, IAM policies, TLS/SSL, and monitoring automation. Experience with AWS Lambda and Secrets Manager. Excellent troubleshooting and performance optimization skills.

Own and manage the entire AWS infrastructure stack (Development, UAT, Staging, Production). Design and operate multi-tenant SaaS environments with auto-scaling, load balancing, and cost optimization. Build and maintain CI/CD pipelines using Jenkins, AWS CodeBuild and AWS CodeDeploy. Configure and secure networking (VPC, subnets, routing, VPN, firewalls) and Cloudflare for DNS, CDN, and WAF. Manage Unix / server administration — patching, hardening, backup, and monitoring. Implement and monitor IAM policies, Secrets Manager, SSL/TLS, and access control. Set up monitoring and alerting (CloudWatch, Grafana, ELK, Prometheus). Enforce high-availability and disaster recovery (HA/DR) strategies. Automate infrastructure provisioning (CloudFormation / Terraform). Support application deployments and troubleshoot performance bottlenecks. Collaborate with developers to ensure consistent, reliable, and secure CI/CD deployments.

Annual Leave Medical and Hospitalisation Leave EPF SOCSO EIS Medical Insurance Training Provided Performance Bonus

AWS Jenkins Git CI/CD Software As A Service (SaaS)"
26494398,Senior IT Business System Analyst,https://www.ricebowl.my/job/26494398-senior-it-business-system-analyst,Vista Kencana Sdn Bhd,WP Kuala Lumpur,5000.0,7000.0,6000.0,2026-06-08,"Bachelor's in IT, Computer Science, Business, or related field Master's (MBA or IS) is a plus 3+ years’ experience in Business Systems Analysis Strong in API testing, data analysis, system integration Familiar with tools: Postman, Tableau/Power BI, JIRA, Git Knowledge of SDLC, Agile/Scrum, ERP/CRM systems Excellent communication and stakeholder management skills Strong problem-solving mindset and team collaboration

Analyze and document business requirements Design and propose IT solutions to support business goals Collaborate with technical teams on implementation Perform system and process analysis Lead or support integration projects (APIs, enterprise platforms) Ensure project milestones and outcomes are met

Annual Leave Medical and Hospitalisation Leave EIS Annual Bonus EPF SOCSO 5 Working Days Medical Insurance

Data Integration Scrum API Development system analysis UAT Stakeholder Management Problem Solving Business Management System Enhancement"
26454313,AI Engineer,https://www.ricebowl.my/job/26454313-ai-engineer,Servconnect Technology Plt,Cheras,3000.0,4000.0,3500.0,2026-06-06,"Candidate Profile Fresh graduate or 1–2 years working experience Hands-on builder (not theory-focused) Has explored AI tools beyond basic usage Able to convert ideas into working prototypes Curious, proactive, and willing to learn fast Essential Diploma / Degree in IT, Computer Science, or related field (or equivalent self-taught experience) Basic programming skills ( Python preferred ) Understanding of APIs and system integration Strong problem-solving mindset Ability to adapt to evolving technologies and project requirements Mandatory (Key Filter) Must have built at least ONE AI-related project , such as: Chatbot using LLM API (e.g., OpenAI or similar) AI-assisted automation script Simple AI application (e.g., document Q&A, prompt-based tool)

Develop automation scripts, internal tools, and simple applications Integrate systems via APIs and data workflows Support development of AI-powered features (chatbots, assistants, automation tools) Work with structured and unstructured data Assist in deployment, testing, and debugging Continuously explore and apply modern AI tools and technologies

Work on real AI-driven projects, not just theory Gain exposure to automation, APIs, and modern AI tools Opportunity to grow into AI Engineer / Full-Stack Developer roles Fast-paced, learning-focused environment

Machine Learning Deep Learning Python Data Science Artificial Intelligence"
26609974,Artificial intelligence Developer,https://www.ricebowl.my/job?jobId=26609974&slug=artificial-intelligence-developer,Web Synergies (s) Pte Ltd,Singapore,1500.0,100000.0,50750.0,2026-05-28,"Artificial Intelligence Developer Job Responsibilities/Key Tasks • Design and optimize scalable data workflows with subject matter expertise in data loading patterns, data architecture etc. • Develop and maintain robust data pipelines that support both real-time and batch processing • Extract and integrate data from various sources, developing and scaling models in real-time business conditions. This includes interfacing (via API) between the data layer and application layer. • Leverage on SQL to ensure efficient data transformation and analytics • Implement data modelling best practices to support AI/ML applications, including schema design, partitioning strategies and indexing for performance optimization • Integrate diverse data sources (e.g. structured, semi-structured and unstructured) into unified data architectures that power AI-driven applications and insights • Train advanced models and algorithms suitable for business use – Models include computer vision models, forecasting models, route optimisation etc. • Work as a team to ensure data readiness, feature engineering pipelines and reproducibility of experiments • Champion data quality and governance by implementing validation, lineage tracking, and compliance standards • Serve as data engineer, software engineer, cloud engineer and AI scientist all-in-one Job Requirements • Min. Bachelor Degree in Engineering, Economics, Mathematics, Computer Science or related areas • Minimum 5-8 years of work experience in a related role dealing with artificial intelligence • Advanced understanding in software engineering practices (e.g. Version Control), containerization, CI/CD pipelines • Experience with deploying models using frameworks like TensorFlow, PyTorch, and extremely familiar with platforms like Azure • Advanced proficiency in SPARK, Python, Java, SQL, Pandas, Hugging Face, Open AI APIs • Familiarity with data manipulation, statistical analysis and machine learning theories. This includes extracting and integration of data from various sources, developing and scaling models in real-time business conditions. This includes interfacing (via API) between the data layer and application layer. • Advanced proficiency with both full stack software engineering and data engineering with solid experience with working with Azure etc. • Familiar with data ethics and governance including best practices on how data should be managed securely"
26267269,Quality Assurance Executive,https://www.ricebowl.my/job/26267269-quality-assurance-executive,Mister Coffee Malaysia,Johor,1900.0,3500.0,2700.0,2026-06-07,"1. 教育与经验 教育背景：通常要求拥有工程学（土木、机 械、电气）、理学（食品科技、化学、生物学）或质量管理专业的学士学位或文凭。 经验：大多数职位要求在质量保证/质量控制（QA/QC）环境中拥有2至5年的相关经验。 2. 技术技能与知识 标准：熟练掌握ISO FSSC 22000以及行业特定标准，如GMP、HACCP 或清真认证（食品行业），等等。 工具：了解7种QC工具（例如，鱼骨图、帕累托图）、统计过程控制（SPC）以及精益/六西格玛方法论。 软件：熟练使用MS Office进行数据分析和报告，通常还需要掌握ERP系统。 3. 关键软技能 注重细节：细致是识别规格偏差的关键。 分析性问题解决能力：能够解读数据趋势并深入调查缺陷。 沟通能力：具备良好的口头和书面沟通能力，能够与供应商、监管机构（如JAKIM或KKM）以及内部团队进行有效沟通。 1. Education & Experience Education: A Bachelor's degree or Diploma in Engineering (Civil, Mechanical, Electrical), Science (Food Tech, Chemistry, Biology), or Quality Management is typically required. Experience: Most roles require 2 to 5 years of relevant experience in a QA/QC environment. 2. Technical Skills & Knowledge Standards: Proficiency in ISO FSSC 22000 , and industry-specific standards like GMP, HACCP, or Halal (for food) and ect. Tools: Knowledge of 7 QC Tools (e.g., Fishbone, Pareto charts), Statistical Process Control (SPC), and Lean/Six Sigma methodologies. Software: Competence in MS Office for data analysis and reporting, and often ERP systems. 3. Critical Soft Skills Attention to Detail: Meticulousness is vital for identifying deviations from specifications. Analytical Problem-Solving: Ability to interpret data trends and perform deep investigations into defects. Communication: Strong verbal and written skills to liaise with suppliers, regulatory bodies (like JAKIM or KKM), and internal teams.

流程管理 (QA): 开发和维护食品安全体系 (FSS)，包括手册、标准操作程序 (SOP) 和质量方针。 协调和进行内部和外部审核，以确保符合 FSSC 22000、ISO 22000、GMP、HACCP 或清真等标准。 管理纠正和预防措施 (CAPA) 和不合格报告 (NCR)，以解决问题的根本原因。 运营控制 (QC): 监督进厂原材料、过程生产和最终成品的检验。 使用卡尺和量规等工具进行感官评估、实验室测试或尺寸检查。 通过根本原因分析 (RCA) 调查客户投诉并实施解决方案。 文档与培训: 维护准确的质量记录、测试结果和供应商认证，以供审核追溯。 对员工进行质量标准、卫生规范和安全规程的培训。 Process Management (QA): Develop and maintain the Food Safety System (FSS) , including manuals, Standard Operating Procedures (SOPs), and quality policies. Coordinate and conduct internal and external audits to ensure compliance with standards like FSSC 22000, ISO 22000, GMP, HACCP or Halal. Manage Corrective and Preventive Actions (CAPA) and non-conformance reports (NCR) to address root causes of issues. Operational Control (QC): Oversee inspections of incoming raw materials, in-process production, and final finished goods. Perform sensory evaluations, laboratory tests, or dimensional checks using tools like calipers and gauges. Investigate customer complaints through Root Cause Analysis (RCA) and implement solutions. Documentation & Training: Maintain accurate quality records, test results, and supplier certifications for audit traceability. Conduct staff training on quality standards, hygiene practices, and safety protocols.

带薪年假 公积金 社险 就业保险 佣金 提供津贴 年终奖金 提供培训 加班费 Annual Leave EPF SOCSO EIS commission Allowance Provided Annual Bonus Training Provided Overtime Pay

specialised sensory expertise technical food safety knowledge food safety system"
26653227,PHP Developer,https://www.ricebowl.my/job/26653227-php-developer,MDvelop Technology Sdn Bhd,WP Kuala Lumpur,4000.0,5500.0,4750.0,2026-06-05,"Opportunities for Career Advancement Collaborative & Supportive Work Environment Performance-Driven Rewards

Diploma / Degree in Computer Science, Software Engineering, or related field 2-3 years of working experience in PHP development Solid understanding of PHP framework. Hands-on experience with Laravel framework Experience using MySQL or other relational databases Basic knowledge of JavaScript , HTML, CSS Familiar with RESTful APIs and basic API integration Experience with Git or other version control systems Willingness to learn, responsible, and able to work independently with guidance Added Advantages (Nice to Have) Experience with Redis or caching mechanisms Exposure to queue systems (e.g. Laravel Queue) Understanding of basic web security practices Experience working on high-traffic or transaction-based systems Language Requirements Proficiency in Mandarin (spoken and written) to collaborate with Mandarin-speaking internal stakeholders and technical documentation Good command of English Basic knowledge of Bahasa Malaysia is an added advantage

Job Overview MDvelop Technology Sdn Bhd is looking for a motivated PHP Developer with 2-3 years of hands-on experience to support the development and maintenance of web-based systems. This role is suitable for a developer who has a solid foundation in PHP and Laravel, is eager to learn, and enjoys working in a fast-paced technical environment. You will work closely with senior developers to enhance existing systems, build new features, and ensure system stability and performance. Key Responsibilities Assist in developing and maintaining web applications using PHP and Laravel framework Write clean, structured, and maintainable code following development best practices Support backend development tasks including feature implementation and bug fixing Work with databases to create, optimize, and maintain queries Assist in integrating internal and third-party APIs Perform basic debugging, testing, and performance improvements Maintain proper technical documentation Collaborate with team members to deliver tasks within project timelines

Annual Leave Medical and Hospitalisation Leave EPF SOCSO EIS Annual Bonus Company Trip 5 Working Days

PHP Laravel JavaScript React React Native MySQL RESTful API"
